U,n,Log(U),Log(n),,Count,Radix,Merge
2,2,1,1,0,1,FALSE,FALSE
2,4,1,2,0,2,FALSE,FALSE
2,8,1,3,0,3,FALSE,FALSE
2,16,1,4,0,4,FALSE,FALSE
2,32,1,5,0,5,FALSE,FALSE
2,64,1,6,0,6,FALSE,FALSE
2,128,1,7,0,7,FALSE,FALSE
2,256,1,8,0,8,FALSE,FALSE
2,512,1,9,0,9,FALSE,FALSE
2,1024,1,10,0,10,FALSE,FALSE
2,2048,1,11,0,11,FALSE,FALSE
2,4096,1,12,0,12,FALSE,FALSE
2,8192,1,13,0,13,FALSE,FALSE
2,16384,1,14,0,14,FALSE,FALSE
2,32768,1,15,0,15,FALSE,FALSE
2,65536,1,16,0,16,FALSE,FALSE
4,2,2,1,0,1,FALSE,FALSE
4,4,2,2,0,2,FALSE,FALSE
4,8,2,3,0,3,FALSE,FALSE
4,16,2,4,0,4,FALSE,FALSE
4,32,2,5,0,5,FALSE,FALSE
4,64,2,6,0,6,FALSE,FALSE
4,128,2,7,0,7,FALSE,FALSE
4,256,2,8,0,8,FALSE,FALSE
4,512,2,9,0,9,FALSE,FALSE
4,1024,2,10,0,10,FALSE,FALSE
4,2048,2,11,0,11,FALSE,FALSE
4,4096,2,12,0,12,FALSE,FALSE
4,8192,2,13,0,13,FALSE,FALSE
4,16384,2,14,0,14,FALSE,FALSE
4,32768,2,15,0,15,FALSE,FALSE
4,65536,2,16,0,16,FALSE,FALSE
8,2,3,1,2,FALSE,FALSE,1
8,4,3,2,0,2,FALSE,FALSE
8,8,3,3,0,3,FALSE,FALSE
8,16,3,4,0,4,FALSE,FALSE
8,32,3,5,0,5,FALSE,FALSE
8,64,3,6,0,6,FALSE,FALSE
8,128,3,7,0,7,FALSE,FALSE
8,256,3,8,0,8,FALSE,FALSE
8,512,3,9,0,9,FALSE,FALSE
8,1024,3,10,0,10,FALSE,FALSE
8,2048,3,11,0,11,FALSE,FALSE
8,4096,3,12,0,12,FALSE,FALSE
8,8192,3,13,0,13,FALSE,FALSE
8,16384,3,14,0,14,FALSE,FALSE
8,32768,3,15,0,15,FALSE,FALSE
8,65536,3,16,0,16,FALSE,FALSE
16,2,4,1,2,FALSE,FALSE,1
16,4,4,2,0,2,FALSE,FALSE
16,8,4,3,0,3,FALSE,FALSE
16,16,4,4,0,4,FALSE,FALSE
16,32,4,5,0,5,FALSE,FALSE
16,64,4,6,0,6,FALSE,FALSE
16,128,4,7,0,7,FALSE,FALSE
16,256,4,8,0,8,FALSE,FALSE
16,512,4,9,0,9,FALSE,FALSE
16,1024,4,10,0,10,FALSE,FALSE
16,2048,4,11,0,11,FALSE,FALSE
16,4096,4,12,0,12,FALSE,FALSE
16,8192,4,13,0,13,FALSE,FALSE
16,16384,4,14,0,14,FALSE,FALSE
16,32768,4,15,0,15,FALSE,FALSE
16,65536,4,16,0,16,FALSE,FALSE
32,2,5,1,2,FALSE,FALSE,1
32,4,5,2,0,2,FALSE,FALSE
32,8,5,3,0,3,FALSE,FALSE
32,16,5,4,0,4,FALSE,FALSE
32,32,5,5,0,5,FALSE,FALSE
32,64,5,6,0,6,FALSE,FALSE
32,128,5,7,0,7,FALSE,FALSE
32,256,5,8,0,8,FALSE,FALSE
32,512,5,9,0,9,FALSE,FALSE
32,1024,5,10,0,10,FALSE,FALSE
32,2048,5,11,0,11,FALSE,FALSE
32,4096,5,12,0,12,FALSE,FALSE
32,8192,5,13,0,13,FALSE,FALSE
32,16384,5,14,0,14,FALSE,FALSE
32,32768,5,15,0,15,FALSE,FALSE
32,65536,5,16,0,16,FALSE,FALSE
64,2,6,1,2,FALSE,FALSE,1
64,4,6,2,2,FALSE,FALSE,2
64,8,6,3,0,3,FALSE,FALSE
64,16,6,4,0,4,FALSE,FALSE
64,32,6,5,0,5,FALSE,FALSE
64,64,6,6,0,6,FALSE,FALSE
64,128,6,7,0,7,FALSE,FALSE
64,256,6,8,0,8,FALSE,FALSE
64,512,6,9,0,9,FALSE,FALSE
64,1024,6,10,0,10,FALSE,FALSE
64,2048,6,11,0,11,FALSE,FALSE
64,4096,6,12,0,12,FALSE,FALSE
64,8192,6,13,0,13,FALSE,FALSE
64,16384,6,14,0,14,FALSE,FALSE
64,32768,6,15,0,15,FALSE,FALSE
64,65536,6,16,0,16,FALSE,FALSE
128,2,7,1,2,FALSE,FALSE,1
128,4,7,2,2,FALSE,FALSE,2
128,8,7,3,2,FALSE,FALSE,3
128,16,7,4,0,4,FALSE,FALSE
128,32,7,5,0,5,FALSE,FALSE
128,64,7,6,0,6,FALSE,FALSE
128,128,7,7,0,7,FALSE,FALSE
128,256,7,8,0,8,FALSE,FALSE
128,512,7,9,0,9,FALSE,FALSE
128,1024,7,10,0,10,FALSE,FALSE
128,2048,7,11,0,11,FALSE,FALSE
128,4096,7,12,0,12,FALSE,FALSE
128,8192,7,13,0,13,FALSE,FALSE
128,16384,7,14,0,14,FALSE,FALSE
128,32768,7,15,0,15,FALSE,FALSE
128,65536,7,16,0,16,FALSE,FALSE
256,2,8,1,2,FALSE,FALSE,1
256,4,8,2,2,FALSE,FALSE,2
256,8,8,3,2,FALSE,FALSE,3
256,16,8,4,1,FALSE,4,FALSE
256,32,8,5,0,5,FALSE,FALSE
256,64,8,6,0,6,FALSE,FALSE
256,128,8,7,0,7,FALSE,FALSE
256,256,8,8,0,8,FALSE,FALSE
256,512,8,9,0,9,FALSE,FALSE
256,1024,8,10,0,10,FALSE,FALSE
256,2048,8,11,0,11,FALSE,FALSE
256,4096,8,12,0,12,FALSE,FALSE
256,8192,8,13,0,13,FALSE,FALSE
256,16384,8,14,0,14,FALSE,FALSE
256,32768,8,15,0,15,FALSE,FALSE
256,65536,8,16,0,16,FALSE,FALSE
512,2,9,1,2,FALSE,FALSE,1
512,4,9,2,2,FALSE,FALSE,2
512,8,9,3,2,FALSE,FALSE,3
512,16,9,4,2,FALSE,FALSE,4
512,32,9,5,1,FALSE,5,FALSE
512,64,9,6,0,6,FALSE,FALSE
512,128,9,7,0,7,FALSE,FALSE
512,256,9,8,0,8,FALSE,FALSE
512,512,9,9,0,9,FALSE,FALSE
512,1024,9,10,0,10,FALSE,FALSE
512,2048,9,11,0,11,FALSE,FALSE
512,4096,9,12,0,12,FALSE,FALSE
512,8192,9,13,0,13,FALSE,FALSE
512,16384,9,14,0,14,FALSE,FALSE
512,32768,9,15,0,15,FALSE,FALSE
512,65536,9,16,0,16,FALSE,FALSE
1024,2,10,1,2,FALSE,FALSE,1
1024,4,10,2,2,FALSE,FALSE,2
1024,8,10,3,2,FALSE,FALSE,3
1024,16,10,4,2,FALSE,FALSE,4
1024,32,10,5,1,FALSE,5,FALSE
1024,64,10,6,1,FALSE,6,FALSE
1024,128,10,7,1,FALSE,7,FALSE
1024,256,10,8,0,8,FALSE,FALSE
1024,512,10,9,0,9,FALSE,FALSE
1024,1024,10,10,0,10,FALSE,FALSE
1024,2048,10,11,0,11,FALSE,FALSE
1024,4096,10,12,0,12,FALSE,FALSE
1024,8192,10,13,0,13,FALSE,FALSE
1024,16384,10,14,0,14,FALSE,FALSE
1024,32768,10,15,0,15,FALSE,FALSE
1024,65536,10,16,0,16,FALSE,FALSE
2048,2,11,1,2,FALSE,FALSE,1
2048,4,11,2,2,FALSE,FALSE,2
2048,8,11,3,2,FALSE,FALSE,3
2048,16,11,4,2,FALSE,FALSE,4
2048,32,11,5,1,FALSE,5,FALSE
2048,64,11,6,1,FALSE,6,FALSE
2048,128,11,7,1,FALSE,7,FALSE
2048,256,11,8,0,8,FALSE,FALSE
2048,512,11,9,0,9,FALSE,FALSE
2048,1024,11,10,0,10,FALSE,FALSE
2048,2048,11,11,0,11,FALSE,FALSE
2048,4096,11,12,0,12,FALSE,FALSE
2048,8192,11,13,0,13,FALSE,FALSE
2048,16384,11,14,0,14,FALSE,FALSE
2048,32768,11,15,0,15,FALSE,FALSE
2048,65536,11,16,0,16,FALSE,FALSE
4096,2,12,1,2,FALSE,FALSE,1
4096,4,12,2,2,FALSE,FALSE,2
4096,8,12,3,2,FALSE,FALSE,3
4096,16,12,4,2,FALSE,FALSE,4
4096,32,12,5,1,FALSE,5,FALSE
4096,64,12,6,1,FALSE,6,FALSE
4096,128,12,7,1,FALSE,7,FALSE
4096,256,12,8,1,FALSE,8,FALSE
4096,512,12,9,0,9,FALSE,FALSE
4096,1024,12,10,0,10,FALSE,FALSE
4096,2048,12,11,0,11,FALSE,FALSE
4096,4096,12,12,0,12,FALSE,FALSE
4096,8192,12,13,0,13,FALSE,FALSE
4096,16384,12,14,0,14,FALSE,FALSE
4096,32768,12,15,0,15,FALSE,FALSE
4096,65536,12,16,0,16,FALSE,FALSE
8192,2,13,1,2,FALSE,FALSE,1
8192,4,13,2,2,FALSE,FALSE,2
8192,8,13,3,2,FALSE,FALSE,3
8192,16,13,4,2,FALSE,FALSE,4
8192,32,13,5,1,FALSE,5,FALSE
8192,64,13,6,1,FALSE,6,FALSE
8192,128,13,7,1,FALSE,7,FALSE
8192,256,13,8,1,FALSE,8,FALSE
8192,512,13,9,1,FALSE,9,FALSE
8192,1024,13,10,0,10,FALSE,FALSE
8192,2048,13,11,1,FALSE,11,FALSE
8192,4096,13,12,0,12,FALSE,FALSE
8192,8192,13,13,0,13,FALSE,FALSE
8192,16384,13,14,0,14,FALSE,FALSE
8192,32768,13,15,0,15,FALSE,FALSE
8192,65536,13,16,0,16,FALSE,FALSE
16384,2,14,1,2,FALSE,FALSE,1
16384,4,14,2,2,FALSE,FALSE,2
16384,8,14,3,2,FALSE,FALSE,3
16384,16,14,4,2,FALSE,FALSE,4
16384,32,14,5,2,FALSE,FALSE,5
16384,64,14,6,1,FALSE,6,FALSE
16384,128,14,7,1,FALSE,7,FALSE
16384,256,14,8,1,FALSE,8,FALSE
16384,512,14,9,1,FALSE,9,FALSE
16384,1024,14,10,1,FALSE,10,FALSE
16384,2048,14,11,0,11,FALSE,FALSE
16384,4096,14,12,0,12,FALSE,FALSE
16384,8192,14,13,0,13,FALSE,FALSE
16384,16384,14,14,0,14,FALSE,FALSE
16384,32768,14,15,0,15,FALSE,FALSE
16384,65536,14,16,0,16,FALSE,FALSE
32768,2,15,1,2,FALSE,FALSE,1
32768,4,15,2,2,FALSE,FALSE,2
32768,8,15,3,2,FALSE,FALSE,3
32768,16,15,4,2,FALSE,FALSE,4
32768,32,15,5,2,FALSE,FALSE,5
32768,64,15,6,1,FALSE,6,FALSE
32768,128,15,7,1,FALSE,7,FALSE
32768,256,15,8,1,FALSE,8,FALSE
32768,512,15,9,1,FALSE,9,FALSE
32768,1024,15,10,1,FALSE,10,FALSE
32768,2048,15,11,1,FALSE,11,FALSE
32768,4096,15,12,0,12,FALSE,FALSE
32768,8192,15,13,0,13,FALSE,FALSE
32768,16384,15,14,0,14,FALSE,FALSE
32768,32768,15,15,0,15,FALSE,FALSE
32768,65536,15,16,0,16,FALSE,FALSE
65536,2,16,1,2,FALSE,FALSE,1
65536,4,16,2,2,FALSE,FALSE,2
65536,8,16,3,2,FALSE,FALSE,3
65536,16,16,4,2,FALSE,FALSE,4
65536,32,16,5,2,FALSE,FALSE,5
65536,64,16,6,2,FALSE,FALSE,6
65536,128,16,7,1,FALSE,7,FALSE
65536,256,16,8,1,FALSE,8,FALSE
65536,512,16,9,1,FALSE,9,FALSE
65536,1024,16,10,1,FALSE,10,FALSE
65536,2048,16,11,1,FALSE,11,FALSE
65536,4096,16,12,1,FALSE,12,FALSE
65536,8192,16,13,1,FALSE,13,FALSE
65536,16384,16,14,0,14,FALSE,FALSE
65536,32768,16,15,0,15,FALSE,FALSE
65536,65536,16,16,0,16,FALSE,FALSE
131072,2,17,1,2,FALSE,FALSE,1
131072,4,17,2,2,FALSE,FALSE,2
131072,8,17,3,2,FALSE,FALSE,3
131072,16,17,4,2,FALSE,FALSE,4
131072,32,17,5,2,FALSE,FALSE,5
131072,64,17,6,1,FALSE,6,FALSE
131072,128,17,7,1,FALSE,7,FALSE
131072,256,17,8,1,FALSE,8,FALSE
131072,512,17,9,1,FALSE,9,FALSE
131072,1024,17,10,1,FALSE,10,FALSE
131072,2048,17,11,1,FALSE,11,FALSE
131072,4096,17,12,1,FALSE,12,FALSE
131072,8192,17,13,1,FALSE,13,FALSE
131072,16384,17,14,0,14,FALSE,FALSE
131072,32768,17,15,0,15,FALSE,FALSE
131072,65536,17,16,0,16,FALSE,FALSE
262144,2,18,1,2,FALSE,FALSE,1
262144,4,18,2,2,FALSE,FALSE,2
262144,8,18,3,2,FALSE,FALSE,3
262144,16,18,4,2,FALSE,FALSE,4
262144,32,18,5,2,FALSE,FALSE,5
262144,64,18,6,1,FALSE,6,FALSE
262144,128,18,7,1,FALSE,7,FALSE
262144,256,18,8,1,FALSE,8,FALSE
262144,512,18,9,1,FALSE,9,FALSE
262144,1024,18,10,1,FALSE,10,FALSE
262144,2048,18,11,1,FALSE,11,FALSE
262144,4096,18,12,1,FALSE,12,FALSE
262144,8192,18,13,1,FALSE,13,FALSE
262144,16384,18,14,1,FALSE,14,FALSE
262144,32768,18,15,1,FALSE,15,FALSE
262144,65536,18,16,0,16,FALSE,FALSE
524288,2,19,1,2,FALSE,FALSE,1
524288,4,19,2,2,FALSE,FALSE,2
524288,8,19,3,2,FALSE,FALSE,3
